ID,testID,Na,Mo,Mg,P,B,H,Cr,Ca,Ni,Ag,Cu,Sn,Al,Mn,Pb,Fe,Si,Ba,Sb,Zn,trialDate,trialNum
6,30,0,1,0,0,0,12902,0,0,1,0,2,1,1,1,6,0,0,0,0,1,1993-10-04 00:00:00.000,1
7,30,1,0,0,0,0,13351,0,0,0,0,0,0,0,0,0,1,18,0,0,3,1993-10-04 00:00:00.000,1
8,30,0,0,0,1,0,12995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993-10-04 00:00:00.000,1
9,30,3,1,1,353,0,13518,0,72,0,0,1,0,0,0,1,1,2,0,0,510,1993-10-04 00:00:00.000,1
10,30,2,1,0,326,0,13745,0,69,0,0,10,0,1,0,2,0,3,0,0,461,1993-10-04 00:00:00.000,1
21776,30,651,1,13,228,29,6528,1,81,1,0,182,1,7,5,632,57,27,34,67663,145,2002-10-04 00:00:00.000,1
21679,40,2,0,0,4,3,4549,0,6,0,0,6,0,1,0,0,7,4,0,50345,2,2002-09-30 00:00:00.000,1
21691,40,1,0,1,6,0,4494,0,11,0,0,13,0,2,0,3,6,7,96,50913,15,2002-09-30 00:00:00.000,1
11,30,0,0,0,1,0,13167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993-10-04 00:00:00.000,1
12,30,0,0,0,0,0,12648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993-10-04 00:00:00.000,1
13,30,0,0,0,0,0,13195,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1993-10-04 00:00:00.000,1
14,30,1,0,0,349,0,14181,0,73,0,0,9,0,0,0,0,0,2,0,0,493,1993-10-04 00:00:00.000,1
15,30,1,0,0,170,0,14131,0,2,0,0,3,0,0,0,0,1,0,0,0,9,1993-10-04 00:00:00.000,1
16,30,0,0,0,5,0,13337,0,5,0,0,0,0,0,0,0,0,0,0,0,18,1993-10-04 00:00:00.000,1
17,30,6,9,745,1212,33,12924,1,1100,0,0,13,2,1,1,9,17,15,0,0,1472,1993-10-04 00:00:00.000,1
18,30,5,29,485,1241,30,13076,0,1134,0,0,5,0,1,0,2,4,6,0,0,1533,1993-10-04 00:00:00.000,1
19,30,8,22,849,1205,45,13093,1,780,0,0,9,1,1,1,4,7,10,0,0,1514,1993-10-04 00:00:00.000,1
20,30,12,20,751,1170,40,12198,1,866,0,0,9,0,1,0,6,9,11,0,0,1480,1993-10-04 00:00:00.000,1
21,30,18,0,27,1090,233,12602,0,2193,0,0,4,0,3,0,9,9,1,0,0,1375,1993-10-07 00:00:00.000,1
22,30,19,13,750,1277,35,13886,2,1288,0,0,14,2,1,1,8,19,17,0,0,1576,1993-10-04 00:00:00.000,1
23,30,0,0,0,1,0,13389,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1993-10-04 00:00:00.000,1
