group_name,valueat,tagNumber,component,location,sampleid,sampledate,testID,TestType,Val1
"V - SMB-1 LS 8910 m                     ",92,2JSIAHV0683,099,040,34007,2007-03-14 00:00:00.000,30,Si (std),2399.00
"V - SMB-1 LS 8910 m                     ",92,2JSIBUV0614,099,040,33326,2006-10-26 00:00:00.000,30,Si (std),2231.00
"V - SMB-1 LS 8910 m                     ",92,3JSIAUV0644,099,040,18962,2001-10-05 00:00:00.000,30,Si (std),8861.00
"V - SMB-1 LS 8910 m                     ",92,3JSIAUV0644,099,040,27667,2004-10-10 00:00:00.000,30,Si (std),3849.00
"V - SMB-1 LS 8910 m                     ",92,3JSIBHV0307,099,040,43407,2011-06-07 00:00:00.000,30,Si (std),4253.00
"V - SMB-1 LS 8910 m                     ",92,3JSIBUV0656,099,040,7220,1997-02-24 00:00:00.000,30,Si (std),4932.00
"V - SMB-1 LS 8910 m                     ",92,3JSICUV0653,099,040,41747,2010-10-09 00:00:00.000,30,Si (std),9234.00
"V - SMB-1 LS 8910 m                     ",92,3JSIDUV0654,099,040,14837,2000-04-05 00:00:00.000,30,Si (std),5783.00
"V - SMB-1 pinion 8910 m                 ",90,1JAFAUV0037,002,066,21452,2002-08-26 00:00:00.000,30,Si (std),280.00
"V - SMB-1 pinion 8910 m                 ",90,1JAFBUV0034,002,066,9519,1998-03-18 00:00:00.000,30,Si (std),61.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIAHV0306,002,066,43410,2011-06-02 00:00:00.000,30,Si (std),15.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIAHV0691,002,066,5646,1996-10-03 00:00:00.000,30,Si (std),77.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIAUV0634,002,066,37834,2008-10-19 00:00:00.000,30,Si (std),35.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIAUV0655,002,066,5368,1996-09-23 00:00:00.000,30,Si (std),48.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIBHV0307,002,066,17559,2001-04-09 00:00:00.000,30,Si (std),13.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIBHV0307,002,066,34047,2007-03-21 00:00:00.000,30,Si (std),49.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIBHV0690,002,066,5666,1996-10-13 00:00:00.000,30,Si (std),28.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIBHV0690,002,066,32198,2006-05-18 00:00:00.000,30,Si (std),114.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIBUV0624,002,066,5348,1996-09-27 00:00:00.000,30,Si (std),56.00
"V - SMB-1 pinion 8910 m                 ",90,1JSICUV0653,002,066,21856,2002-10-04 00:00:00.000,30,Si (std),111.00
"V - SMB-1 pinion 8910 m                 ",90,1JSIDUV0654,002,066,32195,2006-05-19 00:00:00.000,30,Si (std),78.00
"V - SMB-1 pinion 8910 m                 ",90,2JAFBUV0035,002,066,22812,2003-01-31 00:00:00.000,30,Si (std),595.00
"V - SMB-1 pinion 8910 m                 ",90,2JSICUV0653,002,066,29195,2005-04-09 00:00:00.000,30,Si (std),111.00
"V - SMB-1 pinion 8910 m                 ",90,2JSIDUV0654,002,066,33240,2006-10-19 00:00:00.000,30,Si (std),51.00
"V - SMB-1 pinion 8910 m                 ",90,3JAFAUV0037,002,066,37642,2008-09-25 00:00:00.000,30,Si (std),26.00
"V - SMB-1 pinion 8910 m                 ",90,3JSIAUV0634,002,066,27664,2004-10-10 00:00:00.000,30,Si (std),159.00
"V - SMB-1 pinion 8910 m                 ",90,3JSIBHV0307,002,066,14050,1999-12-08 00:00:00.000,30,Si (std),29.00
"V - SMB-1 pinion 8910 m                 ",90,3JSIBHV0690,002,066,42002,2010-10-29 00:00:00.000,30,Si (std),21.00
"V - SMB-1 pinion 8910 m                 ",90,3JSIBUV0624,002,066,7197,1997-02-28 00:00:00.000,30,Si (std),141.00
"V - SMB-1 pinion 8910 m                 ",90,3JSICUV0653,002,066,10838,1998-09-29 00:00:00.000,30,Si (std),45.00
"V - SMB-2-60 gear 8910                  ",121,1JSIAHV0686,097,040,13094,1999-06-02 00:00:00.000,30,Si (std),103.00
"V - SMB-2-60 gear 8910                  ",121,3JSIAHV0686,097,040,14708,2000-03-22 00:00:00.000,30,Si (std),20.00
"V - SMB-2-60 gear 8910                  ",121,3JSIBHV0696,097,040,13924,1999-11-17 00:00:00.000,30,Si (std),52.00
"V - SMB-2-60 LS 8910                    ",122,2JSIAHV0686,099,040,20880,2002-06-05 00:00:00.000,30,Si (std),3154.00
"V - SMB-2-60 LS 8910                    ",122,3JSIBHV0696,099,040,41664,2010-07-15 00:00:00.000,30,Si (std),8564.00
"V - SMB-2-60 pinion 8910                ",120,3JSIAHV0686,002,066,36961,2008-06-03 00:00:00.000,30,Si (std),104.00
"V - SMB-3 gear 8910                     ",112,1JSIAUV0651,097,040,40811,2010-04-16 00:00:00.000,30,Si (std),28.00
"V - SMB-3 gear 8910                     ",112,2JSIAUV0651,097,040,8434,1997-10-03 00:00:00.000,30,Si (std),42.00
"V - SMB-3 gear 8910                     ",112,2JSIBUV0652,097,040,39772,2009-10-13 00:00:00.000,30,Si (std),16.00
"V - SMB-3 LS 8910                       ",113,2JSIBUV0652,099,040,33131,2006-10-08 00:00:00.000,30,Si (std),4057.00
"V - SMB-3 pinion 8910                   ",111,1JSIAUV0651,002,066,37768,2008-10-13 00:00:00.000,30,Si (std),16.00
"V - SMB-3 pinion 8910                   ",111,2JSIBUV0652,002,066,16217,2000-10-09 00:00:00.000,30,Si (std),130.00
"V - SMB-3 pinion 8910                   ",111,2JSIBUV0652,002,066,24919,2003-10-03 00:00:00.000,30,Si (std),110.00
"V - SMB-3 pinion 8910                   ",111,3JSIAUV0651,002,066,18985,2001-10-05 00:00:00.000,30,Si (std),112.00
"V - SMC-04 gear 8910                    ",106,1JLRNHV0273,097,040,11451,1998-12-08 00:00:00.000,30,Si (std),1659.00
"V - SMC-04 gear 8910                    ",106,1JRCEHV0433,097,040,21922,2002-10-09 00:00:00.000,30,Si (std),200.00
"V - SMC-04 gear 8910                    ",106,2JRCEHV0431,097,040,12135,1999-03-30 00:00:00.000,30,Si (std),33.00
"V - SMC-04 gear 8910                    ",106,2JRCEHV0431,097,040,20453,2002-04-03 00:00:00.000,30,Si (std),71.00
"V - SMC-04 gear 8910                    ",106,2JSIBUV0665,097,040,38195,2008-12-29 00:00:00.000,30,Si (std),69.00
"V - SMC-04 gear 8910                    ",106,3JHPBUV0006,097,040,26748,2004-06-24 00:00:00.000,30,Si (std),715.00
"V - SMC-04 gear 8910                    ",106,3JHPBUV0006,097,040,30154,2005-08-05 00:00:00.000,30,Si (std),52.00
"V - SMC-04 gear 8910                    ",106,3JLRNHV0274,097,040,10306,1998-07-23 00:00:00.000,30,Si (std),174.00
"V - SMC-04 gear 8910                    ",106,3JRCEHV0430,097,040,32069,2006-05-03 00:00:00.000,30,Si (std),64.00
"V - SMC-04 gear 8910                    ",106,3JRCEHV0431,097,040,18942,2001-10-03 00:00:00.000,30,Si (std),157.00
"V - SMC-04 gear 8910                    ",106,3JRCEHV0432,097,040,14860,2000-04-05 00:00:00.000,30,Si (std),62.00
"V - SMC-04 LS 8910                      ",107,1JRCEHV0431,099,040,5563,1996-10-01 00:00:00.000,30,Si (std),21.00
"V - SMC-04 LS 8910                      ",107,1JRCEHV0433,099,040,26198,2004-04-17 00:00:00.000,30,Si (std),611.00
"V - SMC-04 LS 8910                      ",107,2JLRNHV0273,099,040,7541,1997-06-16 00:00:00.000,30,Si (std),33.00
"V - SMC-04 LS 8910                      ",107,2JRCEHV0431,099,040,16197,2000-10-10 00:00:00.000,30,Si (std),258.00
"V - SMC-04 LS 8910                      ",107,3JHPBUV0006,099,040,27707,2004-10-12 00:00:00.000,30,Si (std),16.00
"V - SMC-04 LS 8910                      ",107,3JHPBUV0006,099,040,38876,2009-04-10 00:00:00.000,30,Si (std),87.00
"V - SMC-04 LS 8910                      ",107,3JRCEHV0433,099,040,23367,2003-04-08 00:00:00.000,30,Si (std),109.00
"V - SMC-04 pinion 8910                  ",105,3JSIBUV0665,002,066,36449,2008-03-27 00:00:00.000,30,Si (std),75.00
"V - SMC-04D gear                        ",65,1JEDNPV0033,097,040,26473,2004-05-11 00:00:00.000,30,Si (std),691.00
"V - SMC-04D gear                        ",65,1JFTNHV0006,097,040,25242,2003-12-10 00:00:00.000,30,Si (std),187.00
"V - SMC-04D gear                        ",65,1JFTNHV0011,097,040,9839,1998-06-01 00:00:00.000,30,Si (std),17.00
"V - SMC-04D gear                        ",65,2JFTNHV0005,097,040,14282,2000-01-18 00:00:00.000,30,Si (std),45.00
"V - SMC-04D gear                        ",65,2JFTNHV0014,097,040,23880,2003-06-19 00:00:00.000,30,Si (std),179.00
"V - SMC-04D gear                        ",65,3JFTNHV0004,097,040,19835,2002-01-25 00:00:00.000,30,Si (std),234.00
"V - SMC-04D gear                        ",65,3JFTNHV0005,097,040,21006,2002-06-27 00:00:00.000,30,Si (std),521.00
"V - SMC-04D gear                        ",65,3JFTNHV0008,097,040,19838,2002-01-25 00:00:00.000,30,Si (std),8.00
"V - SMC-04D gear                        ",65,3JFTNHV0013,097,040,14451,2000-02-11 00:00:00.000,30,Si (std),225.00
"V - SMC-04D LS                          ",66,1JFTNHV0003,099,040,9218,1997-10-30 00:00:00.000,30,Si (std),356.00
"V - SMC-04D LS                          ",66,2JEDNPV0033,099,040,35089,2007-08-09 00:00:00.000,30,Si (std),264.00
"V - SMC-04D LS                          ",66,2JFTNHV0013,099,040,10008,1998-06-15 00:00:00.000,30,Si (std),165.00
"V-SB-1 LS8910 MOVLL                     ",101,1JSGAUV0134,099,040,5325,1996-09-30 00:00:00.000,30,Si (std),2210.00
"vapor extractor                         ",211,1MLONJ02B,141,063,31388,2006-01-26 00:00:00.000,30,Si (std),0.00
"vapor extractor                         ",211,2MLONJ02A,141,063,32241,2006-05-26 00:00:00.000,30,Si (std),0.00
"Water Rec                               ",195,AWFCNQ01E,178,009,32407,2006-06-27 00:00:00.000,30,Si (std),124.00
"Water Rec                               ",195,AWFCNQ02E,178,009,38919,2009-04-08 00:00:00.000,30,Si (std),65.00
"Water Rec - Rake Gear                   ",234,AWFCNQ02D,177,009,27495,2004-09-14 00:00:00.000,30,Si (std),8.00
"Water Rec - Rake Gear                   ",234,AWFCNX01B,177,009,4624,1996-06-21 00:00:00.000,30,Si (std),338.00
"Water Rec - Rake Gear                   ",234,AWFCNX01E,177,009,7475,1997-08-05 00:00:00.000,30,Si (std),15.00
"Water Rec - Rake Gear                   ",234,AWFCNX01F,177,009,4627,1996-06-21 00:00:00.000,30,Si (std),403.00
"Water Rec - Rake Gear                   ",234,AWFCNX02B,177,009,40662,2010-03-09 00:00:00.000,30,Si (std),22.00
"V - SMB-0 HBC-3 Gear 8910 m             ",83,2JCPAUV0002A,097,040,11517,1999-01-05 00:00:00.000,30,Si (std),21.00
"V - SMB-0 HBC-3 Gear 8910 m             ",83,2JCPAUV0002A,097,040,39895,2009-10-27 00:00:00.000,30,Si (std),51.00
"V - SMB-0 HBC-3 LS 8910 m               ",84,2JCPAUV0002B,099,040,11880,1999-02-22 00:00:00.000,30,Si (std),3110.00
"V - SMB-0 HBC-3 LS 8910 m               ",84,2JCPAUV0002B,099,040,24833,2003-10-26 00:00:00.000,30,Si (std),7232.00
"V - SMB-0 HBC-3 LS 8910 m               ",84,2JCPBUV0003A,099,040,15942,2000-08-16 00:00:00.000,30,Si (std),8647.00
"V - SMB-0 HBC-3 LS 8910 m               ",84,3JCPAUV0002A,099,040,15092,2000-04-24 00:00:00.000,30,Si (std),55.00
"V - SMB-0 HBC-3 Pinion 8910 m           ",82,1JCPAUV0002A,002,066,17668,2001-04-23 00:00:00.000,30,Si (std),32.00
"V - SMB-0 HBC-3 Pinion 8910 m           ",82,1JCPBUV0003B,002,066,17665,2001-04-24 00:00:00.000,30,Si (std),278.00
"V - SMB-0 HBC-3 Pinion 8910 m           ",82,1JCPBUV0003B,002,066,34645,2007-06-11 00:00:00.000,30,Si (std),161.00
"V - SMB-0 HBC-3 Pinion 8910 m           ",82,3JCPBUV0003A,002,066,17966,2001-06-11 00:00:00.000,30,Si (std),64.00
"V - SMB-0 LS 8910                       ",116,1JSIAHV0685,099,040,42345,2010-12-16 00:00:00.000,30,Si (std),2997.00
"V - SMB-0 LS 8910                       ",116,1JSIAHV0688,099,040,5388,1996-10-01 00:00:00.000,30,Si (std),3466.00
"V - SMB-0 LS 8910                       ",116,1JSIBHV0695,099,040,17539,2001-04-05 00:00:00.000,30,Si (std),2411.00
"V - SMB-0 LS 8910                       ",116,2JSIAHV0685,099,040,20877,2002-06-05 00:00:00.000,30,Si (std),5908.00
"V - SMB-0 LS 8910                       ",116,2JSIBHV0694,099,040,31090,2005-12-08 00:00:00.000,30,Si (std),54.00
"V - SMB-0 LS 8910                       ",116,3JSIAHV0688,099,040,22729,2003-01-15 00:00:00.000,30,Si (std),2997.00
"V - SMB-0 LS 8910                       ",116,3JSIAHV0688,099,040,40493,2010-02-10 00:00:00.000,30,Si (std),3000.00
"V - SMB-0 LS 8910                       ",116,3JSIBHV0694,099,040,30194,2005-08-10 00:00:00.000,30,Si (std),8788.00
"V - SMB-0 LS 8910                       ",116,3JSIBHV0695,099,040,41661,2010-07-15 00:00:00.000,30,Si (std),6558.00
"V - SMB-0 LS 8910                       ",116,3JSIBHV0699,099,040,15026,2000-04-18 00:00:00.000,30,Si (std),2095.00
"V - SMB-0 pinion 8910                   ",114,1JSIAHV0687,002,066,21112,2002-07-12 00:00:00.000,30,Si (std),87.00
"V - SMB-0 pinion 8910                   ",114,1JSIBHV0699,002,066,26367,2004-04-20 00:00:00.000,30,Si (std),35.00
"V - SMB-0 pinion 8910                   ",114,1JSICHV0321,002,066,21859,2002-10-05 00:00:00.000,30,Si (std),297.00
"V - SMB-0 pinion 8910                   ",114,1JSIDHV0331,002,066,26175,2004-04-14 00:00:00.000,30,Si (std),283.00
"V - SMB-0 pinion 8910                   ",114,2JSIAHV0685,002,066,29006,2005-03-30 00:00:00.000,30,Si (std),179.00
"V - SMB-0 pinion 8910                   ",114,2JSIBHV0689,002,066,44704,2012-01-03 00:00:00.000,30,Si (std),19.00
"V - SMB-0 pinion 8910                   ",114,2JSIBHV0694,002,066,44707,2011-12-28 00:00:00.000,30,Si (std),9.00
"V - SMB-0 pinion 8910                   ",114,2JSIBHV0699,002,066,16114,2000-09-13 00:00:00.000,30,Si (std),216.00
"V - SMB-0 pinion 8910                   ",114,3JSIAHV0684,002,066,30538,2005-09-28 00:00:00.000,30,Si (std),228.00
"V - SMB-0 pinion 8910                   ",114,3JSIAHV0684,002,066,38661,2009-03-05 00:00:00.000,30,Si (std),186.00
"V - SMB-0 pinion 8910                   ",114,3JSIAHV0684,002,066,44578,2011-12-08 00:00:00.000,30,Si (std),500.00
"V - SMB-0 pinion 8910                   ",114,3JSIAHV0685,002,066,7240,1997-03-15 00:00:00.000,30,Si (std),123.00
"V - SMB-0 pinion 8910                   ",114,3JSIAHV0685,002,066,25388,2003-12-17 00:00:00.000,30,Si (std),1135.00
"V - SMB-0 pinion 8910                   ",114,3JSIBHV0699,002,066,35813,2007-11-27 00:00:00.000,30,Si (std),181.00
"V - SMB-00 Gear 8910 mild               ",54,1JAFBHV0030,097,040,17110,2001-02-01 00:00:00.000,30,Si (std),274.00
"V - SMB-00 Gear 8910 mild               ",54,1JAFBHV0030,097,040,20986,2002-06-18 00:00:00.000,30,Si (std),241.00
"V - SMB-00 Gear 8910 mild               ",54,1JAFCHV0033,097,040,21455,2002-08-28 00:00:00.000,30,Si (std),195.00
"V - SMB-00 Gear 8910 mild               ",54,1JCHAHV0524,097,040,13626,1999-10-14 00:00:00.000,30,Si (std),92.00
"V - SMB-00 Gear 8910 mild               ",54,1JSGEHV0041,097,040,21793,2002-10-02 00:00:00.000,30,Si (std),55.00
"V - SMB-00 Gear 8910 mild               ",54,1JSGEHV0044,097,040,21773,2002-10-03 00:00:00.000,30,Si (std),94.00
"V - SMB-00 Gear 8910 mild               ",54,1JSGNHV0046,097,040,13432,1999-10-01 00:00:00.000,30,Si (std),289.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIAHV0604,097,040,9261,1998-02-17 00:00:00.000,30,Si (std),82.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIAHV0604,097,040,13111,1999-08-27 00:00:00.000,30,Si (std),233.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIAHV0604,097,040,37917,2008-10-28 00:00:00.000,30,Si (std),26.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIAUV0617,097,040,44023,2011-09-16 00:00:00.000,30,Si (std),341.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIAUV0627,097,040,26178,2004-04-15 00:00:00.000,30,Si (std),182.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIBHV0609,097,040,5159,1996-08-28 00:00:00.000,30,Si (std),175.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIBUV0616,097,040,17688,2001-04-14 00:00:00.000,30,Si (std),33.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIBUV0626,097,040,43834,2011-08-31 00:00:00.000,30,Si (std),75.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIBUV0636,097,040,33772,2007-01-24 00:00:00.000,30,Si (std),632.00
"V - SMB-00 Gear 8910 mild               ",54,1JSIBUV0667,097,040,32730,2006-08-09 00:00:00.000,30,Si (std),102.00
"V - SMB-00 Gear 8910 mild               ",54,1JWCBUV0061,097,040,13709,1999-10-22 00:00:00.000,30,Si (std),60.00
"V - SMB-00 Gear 8910 mild               ",54,1JWCBUV0063,097,040,26218,2004-04-18 00:00:00.000,30,Si (std),38.00
"V - SMB-00 Gear 8910 mild               ",54,2JAFAHV0032,097,040,20602,2002-05-07 00:00:00.000,30,Si (std),680.00
"V - SMB-00 Gear 8910 mild               ",54,2JAFBHV0031,097,040,28133,2004-11-30 00:00:00.000,30,Si (std),346.00
"V - SMB-00 Gear 8910 mild               ",54,2JCHAHV0524,097,040,16260,2000-10-14 00:00:00.000,30,Si (std),106.00
"V - SMB-00 Gear 8910 mild               ",54,2JCHBHV0255,097,040,7967,1997-09-10 00:00:00.000,30,Si (std),17.00
"V - SMB-00 Gear 8910 mild               ",54,2JCHEHV0536,097,040,29135,2005-04-07 00:00:00.000,30,Si (std),71.00
"V - SMB-00 Gear 8910 mild               ",54,2JCHNUV0514,097,040,20196,2002-03-20 00:00:00.000,30,Si (std),294.00
