sampleID,anti_oxidant,oxidation,H2O,zddp,soot,fuel_dilution,mixture,NLGI,contam
5995,12,0,4158,NULL,NULL,NULL,NULL,NULL,1.635
6057,8,0,3904,NULL,NULL,NULL,NULL,NULL,2.438
6060,26,0,3990,NULL,NULL,NULL,NULL,NULL,1.894
6061,0,0,4391,NULL,NULL,NULL,NULL,NULL,1.599
6065,0,0,4656,NULL,NULL,NULL,NULL,NULL,1.872
6069,13,0,3778,NULL,NULL,NULL,NULL,NULL,1.454
6075,3,0,4082,NULL,NULL,NULL,NULL,NULL,2.305
6079,68,0,4117,NULL,NULL,NULL,NULL,NULL,5.273
6086,40,0,3815,NULL,NULL,NULL,NULL,NULL,4.474
6090,40,0,3672,NULL,NULL,NULL,NULL,NULL,4.543
6094,3,0,5154,NULL,NULL,NULL,NULL,NULL,3.256
6748,39,0,2873,NULL,NULL,NULL,NULL,NULL,3.53
6752,13,1,3466,NULL,NULL,NULL,NULL,NULL,4.206
6755,22,0,2971,NULL,NULL,NULL,NULL,NULL,4.63
6759,10,0,3891,NULL,NULL,NULL,NULL,NULL,3.785
6761,21,0,3988,NULL,NULL,NULL,NULL,NULL,4.134
6766,40,0,1777,NULL,NULL,NULL,NULL,NULL,7.642
6772,28,0,4215,NULL,NULL,NULL,NULL,NULL,2.792
6782,25,0,5038,NULL,NULL,NULL,NULL,NULL,2.061
6788,34,2,3503,NULL,NULL,NULL,NULL,NULL,1.49
6794,31,0,1381,NULL,NULL,NULL,NULL,NULL,7.251
6802,35,0,2156,NULL,NULL,NULL,NULL,NULL,6.862
6805,33,0,2096,NULL,NULL,NULL,NULL,NULL,6.552
6821,62,0,1433,NULL,NULL,NULL,NULL,NULL,7.484
6905,38,0,4507,NULL,NULL,NULL,NULL,NULL,2.593
6910,73,0,4422,NULL,NULL,NULL,NULL,NULL,3.784
6912,25,0,5433,NULL,NULL,NULL,NULL,NULL,2.652
6914,12,0,5195,NULL,NULL,NULL,NULL,NULL,2.386
6919,18,0,4235,NULL,NULL,NULL,NULL,NULL,2.701
6923,23,0,3882,NULL,NULL,NULL,NULL,NULL,3.417
6925,21,0,4421,NULL,NULL,NULL,NULL,NULL,2.977
6930,19,0,5109,NULL,NULL,NULL,NULL,NULL,3.102
6931,9,0,4292,NULL,NULL,NULL,NULL,NULL,3.603
6935,23,0,3927,NULL,NULL,NULL,NULL,NULL,3.766
6939,14,0,4026,NULL,NULL,NULL,NULL,NULL,3.417
6942,67,0,4944,NULL,NULL,NULL,NULL,NULL,3
6943,22,0,3823,NULL,NULL,NULL,NULL,NULL,3.166
6951,23,0,4986,NULL,NULL,NULL,NULL,NULL,2.433
6953,25,0,3882,NULL,NULL,NULL,NULL,NULL,2.948
6956,24,0,4186,NULL,NULL,NULL,NULL,NULL,2.897
6957,19,0,4945,NULL,NULL,NULL,NULL,NULL,2.315
6960,25,0,3539,NULL,NULL,NULL,NULL,NULL,3.195
6962,14,0,4709,NULL,NULL,NULL,NULL,NULL,2.832
6970,25,0,4435,NULL,NULL,NULL,NULL,NULL,2.934
6974,62,0,5142,NULL,NULL,NULL,NULL,NULL,2.256
6979,16,0,3520,NULL,NULL,NULL,NULL,NULL,2.222
6982,24,0,3656,NULL,NULL,NULL,NULL,NULL,2.756
6985,77,0,5569,NULL,NULL,NULL,NULL,NULL,2.301
6988,52,0,4508,NULL,NULL,NULL,NULL,NULL,3.049
6992,65,0,4364,NULL,NULL,NULL,NULL,NULL,2.303
6995,27,0,4820,NULL,NULL,NULL,NULL,NULL,2.37
6997,6,0,5245,NULL,NULL,NULL,NULL,NULL,1.88
7003,17,0,5136,NULL,NULL,NULL,NULL,NULL,1.996
7007,16,0,3652,NULL,NULL,NULL,NULL,NULL,2.404
7019,25,0,4332,NULL,NULL,NULL,NULL,NULL,3.15
7027,33,0,4733,NULL,NULL,NULL,NULL,NULL,2.886
7040,21,0,3939,NULL,NULL,NULL,NULL,NULL,3.674
7044,21,0,4506,NULL,NULL,NULL,NULL,NULL,3.561
7049,21,0,4157,NULL,NULL,NULL,NULL,NULL,1.97
7056,21,0,3845,NULL,NULL,NULL,NULL,NULL,2.147
7058,15,0,4616,NULL,NULL,NULL,NULL,NULL,4.626
7074,10,0,3333,NULL,NULL,NULL,NULL,NULL,5.004
7083,7,0,4686,NULL,NULL,NULL,NULL,NULL,4.039
7087,27,0,4238,NULL,NULL,NULL,NULL,NULL,3.35
7090,35,0,3609,NULL,NULL,NULL,NULL,NULL,2.84
7174,50,0,1463,NULL,NULL,NULL,NULL,NULL,6.257
7175,13,0,2148,NULL,NULL,NULL,NULL,NULL,6.035
7181,77,0,1432,NULL,NULL,NULL,NULL,NULL,5.943
7185,22,0,3436,NULL,NULL,NULL,NULL,NULL,2.84
7191,20,0,3167,NULL,NULL,NULL,NULL,NULL,0.976
7193,70,0,1603,NULL,NULL,NULL,NULL,NULL,7.524
7196,42,0,2431,NULL,NULL,NULL,NULL,NULL,5.292
7200,59,0,2784,NULL,NULL,NULL,NULL,NULL,3.263
7209,40,0,2239,NULL,NULL,NULL,NULL,NULL,4.761
7212,22,0,1267,NULL,NULL,NULL,NULL,NULL,4.691
7215,29,0,1428,NULL,NULL,NULL,NULL,NULL,8.365
7220,49,0,3007,NULL,NULL,NULL,NULL,NULL,3.726
7225,22,0,1889,NULL,NULL,NULL,NULL,NULL,4.605
7231,19,0,1939,NULL,NULL,NULL,NULL,NULL,7.976
7235,75,0,1767,NULL,NULL,NULL,NULL,NULL,6.405
7239,16,1,1695,NULL,NULL,NULL,NULL,NULL,4.803
7247,44,0,5044,NULL,NULL,NULL,NULL,NULL,2.801
7249,26,1,5491,NULL,NULL,NULL,NULL,NULL,3.016
7252,2,1,5598,NULL,NULL,NULL,NULL,NULL,3.719
7256,33,0,1624,NULL,NULL,NULL,NULL,NULL,8.134
7533,59,0,2151,NULL,NULL,NULL,NULL,NULL,4.31
7537,6,0,2424,NULL,NULL,NULL,NULL,NULL,4.625
7552,33,0,3489,NULL,NULL,NULL,NULL,NULL,3.579
7562,55,0,3164,NULL,NULL,NULL,NULL,NULL,4.546
7566,71,0,2420,NULL,NULL,NULL,NULL,NULL,3.825
7570,36,0,2484,NULL,NULL,NULL,NULL,NULL,4.854
7845,86,0,4384,NULL,NULL,NULL,NULL,NULL,2.892
7848,77,0,3766,NULL,NULL,NULL,NULL,NULL,1.885
7849,75,0,3698,NULL,NULL,NULL,NULL,NULL,4.033
7864,57,0,3805,NULL,NULL,NULL,NULL,NULL,1.985
7877,25,0,3954,NULL,NULL,NULL,NULL,NULL,3.374
7879,39,0,4098,NULL,NULL,NULL,NULL,NULL,2.339
7884,0,0,3163,NULL,NULL,NULL,NULL,NULL,2.412
7887,28,0,3939,NULL,NULL,NULL,NULL,NULL,2.315
7889,32,0,1874,NULL,NULL,NULL,NULL,NULL,1.999
7893,16,0,3781,NULL,NULL,NULL,NULL,NULL,2.611
7900,54,0,3989,NULL,NULL,NULL,NULL,NULL,2.173
7906,11,0,2806,NULL,NULL,NULL,NULL,NULL,1.99
7908,69,0,4455,NULL,NULL,NULL,NULL,NULL,2.276
7911,18,0,4398,NULL,NULL,NULL,NULL,NULL,2.228
7913,48,0,4345,NULL,NULL,NULL,NULL,NULL,3.37
7928,22,0,3181,NULL,NULL,NULL,NULL,NULL,3.457
7929,20,0,2278,NULL,NULL,NULL,NULL,NULL,3.406
7932,0,0,3660,NULL,NULL,NULL,NULL,NULL,3.828
7934,9,0,3448,NULL,NULL,NULL,NULL,NULL,3.652
7939,9,0,1886,NULL,NULL,NULL,NULL,NULL,5.735
7941,26,0,1274,NULL,NULL,NULL,NULL,NULL,8.821
7946,48,0,1989,NULL,NULL,NULL,NULL,NULL,3.745
7949,26,0,1565,NULL,NULL,NULL,NULL,NULL,5.954
7954,36,0,1905,NULL,NULL,NULL,NULL,NULL,4.674
7959,15,0,1614,NULL,NULL,NULL,NULL,NULL,5.835
7965,56,0,2489,NULL,NULL,NULL,NULL,NULL,4.434
7968,32,0,1709,NULL,NULL,NULL,NULL,NULL,6.935
7970,27,0,1183,NULL,NULL,NULL,NULL,NULL,7.424
7974,29,0,2077,NULL,NULL,NULL,NULL,NULL,5.887
7976,18,0,1539,NULL,NULL,NULL,NULL,NULL,8.959
7977,40,0,1656,NULL,NULL,NULL,NULL,NULL,6.789
7986,41,0,3287,NULL,NULL,NULL,NULL,NULL,3.022
7988,31,0,1763,NULL,NULL,NULL,NULL,NULL,9.297
7998,14,0,1887,NULL,NULL,NULL,NULL,NULL,6.008
7999,58,0,1739,NULL,NULL,NULL,NULL,NULL,6.702
8001,23,0,1615,NULL,NULL,NULL,NULL,NULL,8.441
8005,28,0,1892,NULL,NULL,NULL,NULL,NULL,6.831
8007,28,0,1911,NULL,NULL,NULL,NULL,NULL,11.123
8025,78,0,3507,NULL,NULL,NULL,NULL,NULL,3.252
8348,52,0,1329,NULL,NULL,NULL,NULL,NULL,5.678
8359,32,0,2621,NULL,NULL,NULL,NULL,NULL,4.166
8365,24,0,2397,NULL,NULL,NULL,NULL,NULL,5.692
8367,30,0,2258,NULL,NULL,NULL,NULL,NULL,5.873
8381,30,0,2073,NULL,NULL,NULL,NULL,NULL,3.755
8384,31,0,1797,NULL,NULL,NULL,NULL,NULL,3.826
8387,38,0,1831,NULL,NULL,NULL,NULL,NULL,4.065
8393,37,0,1500,NULL,NULL,NULL,NULL,NULL,2.997
8396,25,0,1435,NULL,NULL,NULL,NULL,NULL,2.731
8399,55,0,2412,NULL,NULL,NULL,NULL,NULL,2.22
8402,10,0,1661,NULL,NULL,NULL,NULL,NULL,4.819
8405,30,0,1424,NULL,NULL,NULL,NULL,NULL,2.71
8408,38,0,1280,NULL,NULL,NULL,NULL,NULL,2.188
8411,30,0,1565,NULL,NULL,NULL,NULL,NULL,3.881
8414,23,0,2173,NULL,NULL,NULL,NULL,NULL,0.745
8417,22,0,1540,NULL,NULL,NULL,NULL,NULL,5.919
8422,33,0,926,NULL,NULL,NULL,NULL,NULL,1.52
8426,12,0,1946,NULL,NULL,NULL,NULL,NULL,3.378
8429,67,0,1811,NULL,NULL,NULL,NULL,NULL,5.124
8432,35,0,1164,NULL,NULL,NULL,NULL,NULL,4.123
9212,11,0,3396,NULL,NULL,NULL,NULL,NULL,2.514
9233,83,0,4163,NULL,NULL,NULL,NULL,NULL,4.329
9241,22,0,2783,NULL,NULL,NULL,NULL,NULL,3.596
9248,44,0,3562,NULL,NULL,NULL,NULL,NULL,2.052
9267,25,0,2894,NULL,NULL,NULL,NULL,NULL,5.155
9313,83,0,4424,NULL,NULL,NULL,NULL,NULL,4.773
9333,29,0,2266,NULL,NULL,NULL,NULL,NULL,4.836
9336,21,0,3096,NULL,NULL,NULL,NULL,NULL,3.687
9338,3,0,3541,NULL,NULL,NULL,NULL,NULL,3.665
9341,22,0,3713,NULL,NULL,NULL,NULL,NULL,3.804
9343,14,0,3754,NULL,NULL,NULL,NULL,NULL,3.33
9345,21,0,3383,NULL,NULL,NULL,NULL,NULL,3.468
9347,11,0,3276,NULL,NULL,NULL,NULL,NULL,4.43
9349,30,0,3061,NULL,NULL,NULL,NULL,NULL,4.119
9364,8,0,3934,NULL,NULL,NULL,NULL,NULL,2.565
9367,13,0,3522,NULL,NULL,NULL,NULL,NULL,2.878
9370,48,0,3667,NULL,NULL,NULL,NULL,NULL,3.388
9385,34,0,3575,NULL,NULL,NULL,NULL,NULL,3.312
9392,11,0,3636,NULL,NULL,NULL,NULL,NULL,3.41
9397,25,0,2257,NULL,NULL,NULL,NULL,NULL,6.756
9398,6,0,3112,NULL,NULL,NULL,NULL,NULL,3.113
9406,1,0,3575,NULL,NULL,NULL,NULL,NULL,2.878
9422,22,0,3574,NULL,NULL,NULL,NULL,NULL,4.146
9425,16,0,2502,NULL,NULL,NULL,NULL,NULL,2.557
9434,36,0,3142,NULL,NULL,NULL,NULL,NULL,4.499
9437,41,0,3415,NULL,NULL,NULL,NULL,NULL,4.402
9446,25,0,3716,NULL,NULL,NULL,NULL,NULL,4.016
9450,26,0,3210,NULL,NULL,NULL,NULL,NULL,4.304
9464,21,0,3087,NULL,NULL,NULL,NULL,NULL,3.491
9465,21,0,2809,NULL,NULL,NULL,NULL,NULL,4.01
9467,19,0,3158,NULL,NULL,NULL,NULL,NULL,2.932
9471,7,0,3301,NULL,NULL,NULL,NULL,NULL,3.627
9475,0,0,3433,NULL,NULL,NULL,NULL,NULL,4.187
9478,24,0,3106,NULL,NULL,NULL,NULL,NULL,3.405
9481,16,0,3390,NULL,NULL,NULL,NULL,NULL,4.566
9484,19,0,3577,NULL,NULL,NULL,NULL,NULL,3.31
9487,16,0,3426,NULL,NULL,NULL,NULL,NULL,3.021
9489,34,0,4075,NULL,NULL,NULL,NULL,NULL,3.553
9492,25,0,3584,NULL,NULL,NULL,NULL,NULL,4.059
9499,20,0,3964,NULL,NULL,NULL,NULL,NULL,4.181
9521,14,0,2336,NULL,NULL,NULL,NULL,NULL,6.316
9524,24,0,3092,NULL,NULL,NULL,NULL,NULL,4.867
9553,31,0,2337,NULL,NULL,NULL,NULL,NULL,7.121
9565,17,0,1964,NULL,NULL,NULL,NULL,NULL,7.93
9724,23,0,1073,NULL,NULL,NULL,NULL,NULL,5.048
9864,20,0,1305,NULL,NULL,NULL,NULL,NULL,3.922
9867,76,0,1214,NULL,NULL,NULL,NULL,NULL,2.162
9869,44,0,1366,NULL,NULL,NULL,NULL,NULL,3.126
9916,52,0,1206,NULL,NULL,NULL,NULL,NULL,2.132
9991,19,0,1242,NULL,NULL,NULL,NULL,NULL,0.93
9993,22,0,1792,NULL,NULL,NULL,NULL,NULL,4.978
10001,34,0,1327,NULL,NULL,NULL,NULL,NULL,3.221
10003,42,0,1263,NULL,NULL,NULL,NULL,NULL,4.584
10005,37,0,1526,NULL,NULL,NULL,NULL,NULL,3.336
10010,43,0,1403,NULL,NULL,NULL,NULL,NULL,4.379
10300,41,0,1355,NULL,NULL,NULL,NULL,NULL,3.298
10302,21,0,1536,NULL,NULL,NULL,NULL,NULL,3.816
10309,50,0,1243,NULL,NULL,NULL,NULL,NULL,3.848
10312,88,0,1173,NULL,NULL,NULL,NULL,NULL,2.092
10314,10,0,1179,NULL,NULL,NULL,NULL,NULL,3.8
10590,84,0,1907,NULL,NULL,NULL,NULL,NULL,3.511
10682,50,0,3652,NULL,NULL,NULL,NULL,NULL,3.842
10685,52,0,3722,NULL,NULL,NULL,NULL,NULL,4.305
10688,50,0,2846,NULL,NULL,NULL,NULL,NULL,3.304
10692,7,0,3846,NULL,NULL,NULL,NULL,NULL,4.085
10695,22,0,3702,NULL,NULL,NULL,NULL,NULL,4.199
10743,11,0,3504,NULL,NULL,NULL,NULL,NULL,4.108
10746,5,0,3826,NULL,NULL,NULL,NULL,NULL,4.079
10761,17,0,3034,NULL,NULL,NULL,NULL,NULL,4.509
10764,1,0,3588,NULL,NULL,NULL,NULL,NULL,2.622
10776,26,0,3157,NULL,NULL,NULL,NULL,NULL,4.587
10779,23,0,2778,NULL,NULL,NULL,NULL,NULL,4.449
10789,16,0,3093,NULL,NULL,NULL,NULL,NULL,3.331
