ID,testID,narrative,major,minor,trace
33093,180,"SOME FIBERS PRESENT   ",24,26,21
33427,180,"  ",25,22,21
33491,180,"  ",20,22,21
33516,240,"TRACE OF MOLY - METALLICS TOO FEW/SMALL TO IDENTIFY ",33,35,32
33926,180,"NO UNUSUAL CONTAMINANTS DETECTED ",22,165,25
34109,180," ",NULL,NULL,NULL
34165,180,"NO UNUSUAL CONTAMINANTS DETECTED ",26,22,24
34187,180,"NO UNUSUAL CONTAMINANTS DETECTED ",22,24,26
34302,240,"MAJOR METALLICS LAMINAR, FATIGUE, SLIDING, AND COARSE WEAR PARTICLES - ONE 500 uM AND A FEW 200 uM PARTICLES PRESENT. ",32,59,37
34304,240,A FEW 20-50 uM PARTICLES PRESENT.,162,36,37
34306,180,"METALLICS APPEAR TO BE COPPER ALLOY   ",20,21,26
34307,180,"SEVERAL BLACK SPHERES 10-20 uM IN SIZE  ",25,26,21
34309,240,"MAJOR METALLICS LAMINAR, FATIGUE, SLIDING, AND COARSE WEAR PARTICLES - SEVERAL 200 uM TO 500 uM PARTICLES DETECTED. ",32,36,33
34310,240,"MAJOR METALLICS LAMINAR, FATIGUE, SLIDING, AND COARSE WEAR PARTICLES - SEVERAL 200 uM TO 500 uM PARTICLES DETECTED.",32,36,39
34311,240,"MINOR METALLICS FATIGUE, SLIDING, LAMINAR PARTICLES - ONE 250 uM AND ONE 350 uM PARTICLES DETECTED. ",35,32,37
34312,240,"ONE 150 uM WHITE METAL PARTICLE DETECTED ",35,33,32
34314,240,TRACE METALLICS - TWO 200 uM WHITE METAL PARTICLES - ONE 200 UM COPPER ALLOY PARTICLE - ONE 500 uM WHITE METAL (EVIDENCE OF POSSIBLE OVERHEATING) PARTICLE.,36,33,32
34315,240,"ONE 220 uM COPER ALLOY PARTICLE - OTHER TRACE METALLICS <40uM. ",36,37,32
34316,240,TRACE METALLIS <30uM,36,33,32
34318,240,"ONE 150 uM PARTICLE - TRACE METALLICS <40 uM ",34,33,32
34329,180,"SEVERAL BLACK SPHERES DETECTED  ",25,26,21
34333,180,"ONE 400 uM COPPER ALLOY PARTICLE DETECTED  ",20,165,21
34342,180," ",22,26,28
34379,180,"  ",22,25,26
34382,240,"  ",86,35,32
34391,180,"  ",25,28,21
34403,240," ",166,58,58
34406,180,"  ",20,22,21
34407,180,"  ",22,25,28
34408,180,"  ",24,28,21
34409,180,"  ",22,25,26
34411,180,"  ",20,165,21
34425,180," ",24,28,21
34429,240,"  ",86,33,32
34466,180,"A FEW BLACK SPHERES RANGING FROM 
5 TO 15 uM IN SIZE.   ",25,26,28
34467,180," A FEW BLACK SPHERES RANGING FROM 
5 TO 15 uM IN SIZE.    ",22,25,26
34468,180,"  ",25,165,26
34469,180,"  ",22,25,28
34470,180," A FEW BLACK SPHERES RANGING FROM 
5 TO 10 uM IN SIZE.     ",23,61,22
34479,180,"SOME MOLY DETECTED - ONE 320uM PARTICLE DETECTED.  ",25,26,22
34480,180,"  ",25,25,21
34481,180,"A FEW SPHERES 5 TO 15 uM IN  SIZE, A FEW COPPER ALLOY PARTICLES DETECTED.",25,26,28
34482,180,"   ",22,25,21
34522,180,"  ",24,28,21
34533,180,"  ",20,22,21
34545,180," ",NULL,NULL,NULL
34546,240," ",36,37,32
34547,180,"   ",22,24,23
34548,180," A FEW WHITE METAL PARTICLES DETECTED  ",24,26,23
34549,180,"   ",165,165,24
34559,180,"   ",20,22,21
34560,240,"METALLICS WHITE METAL - SOME EVIDENCE OF POSSIBLE OVERHEATING. ",34,32,58
34577,180,"NO UNUSUAL CONTAMINANTS DETECTED ",26,22,24
34581,180,"  ",20,28,21
34607,240,"METALLICS CONSIST OF CUTTING WEAR AND SEVERE SLIDING WEAR - SOME EVIDENCE OF POSSIBLE OVERHEATING   ",86,32,35
34623,180,"  ",20,28,21
34655,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,165
34656,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,165
34657,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,23
34658,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,25,26
34659,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,25,26
34660,180," NO UNUSUAL CONTAMINANTS DETECTED  ",22,165,165
34662,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,25
34663,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,25
34664,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,25
34665,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,25
34666,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,26,25
34667,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",21,26,25
34668,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,25
34669,180,NO UNUSUAL CONTAMINANTS DETECTED,22,26,25
34677,180,"  ",22,165,24
34681,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,24,22
34682,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,22,24
34695,180," NO UNUSUAL CONTAMINANTS DETECTED  ",22,23,24
34696,180," NO UNUSUAL CONTAMINANTS DETECTED  ",22,25,21
34722,180,"  ",20,22,21
34738,180,"  ",20,165,21
34753,240," TRACE OF METALLICS WHITE METAL SLIDING WEAR  ",86,33,32
34771,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH ",36,39,32
34772,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH  ",36,39,32
34773,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH  ",36,39,32
34808,240," ",37,36,39
34823,180,"  ",20,165,21
34826,180,"  ",20,28,21
34844,240,"METALLICS LAMINAR, CUTTING AND FINE WEAR PARTICLES-BOTH WHITE AND YELLOW METALS - SOME EVIDENCE OF POSSIBLE OVERHEATING ",32,39,35
34856,180,"  ",20,165,21
34880,180,"  ",20,22,21
34881,240,"METALLICS LAMINAR, FINE WEAR PARTICLES-BOTH WHITE AND YELLOW METALS ",32,39,35
34900,180,"  ",20,28,21
34901,180,"  ",20,22,21
34914,180," NO EVIDENCE OF METALLICS
500 ml OIL ",165,165,22
34917,240,"EVIDENCE OF POSSIBLE OVERHEATING ",162,42,35
34921,180,"  ",20,28,21
34922,180,"METALLICS APPEAR TO BE COPPER ALLOY   ",20,22,21
34932,180,"  ",20,28,21
34933,180,"  ",20,28,21
34962,180,"  ",20,22,21
35045,180,"  ",20,22,21
35055,180,"  ",22,165,165
35057,180,"  ",20,165,21
35120,180,"  ",28,25,21
35121,180,"METALLICS BOTH WHITE METAL AND COPPER ALLOY SLIDING AND LAMINAR PARTICLES.  ",24,21,22
35123,180,"  ",20,28,21
35135,180,"  ",20,22,21
35136,180,"    ",24,28,21
35143,180,"  ",22,25,21
35154,180,"  ",20,28,21
35175,180,"  ",24,28,21
