Site,Equipment,EquipName,EquipModel,EquipDesignator,EquipSN,MajorCommand,OperatingActivity,Port,SampDate,SampOrderSeq,SampNum,ProcDate,ProcTime,SoftwareVer,ReservoirCap,FilterRating,FluidType,WaterLimit,ISO4Limit,ISO6Limit,ISO14Limit,NASLimit,NAVAirLimit,CharnLimit,HALLimit,SAELimitGT4,SAELimitGT6,SAELimitGT14,SAELimitGT21,SAELimitGT38,SAELimitGT70,HrsMilesOilChange,HrsMilesOverhaul,OilAdded,OperatingHours,LNFNum,OperatorID,Notes,ConcentrationMult,MDiamCum5,MDiamCum10,MDiamCum15,MDiamCum20,MDiamCum25,MDiamCum50,MDiamCum100,MDiamMaxSize,MDiamMeanSize,MDiamStdDev,ISO4,ISO6,ISO14,NAS,NAVAIR,CHARN,HAL,SAE,CDiamCum4,CDiamCum5,CDiamCum6,CDiamCum10,CDiamCum14,CDiamCum15,CDiamCum20,CDiamCum21,CDiamCum25,CDiamCum38,CDiamCum50,CDiamCum70,CDiamCum100,WaterIndex,CutCum20,CutCum25,CutCum50,CutCum100,CutMaxSize,CutCntMean,CutCntStdDev,SlideCum20,SlideCum25,SlideCum50,SlideCum100,SlideMaxSize,SlideCntMean,SlideCntStdDev,FatCum20,FatCum25,FatCum50,FatCum100,FatMaxSize,FatCntMean,FatCntStdDev,OxideCum20,OxideCum25,OxideCum50,OxideCum100,OxideMaxSize,OxideCntMean,OxideCntStdDev,OtherCum20,OtherCum25,OtherCum50,OtherCum100,OtherMaxSize,OtherCntMean,OtherCntStdDev,Fibers,UserSize1,UserCnt1,UserSize2,UserCnt2,UserSize3,UserCnt3,UserSize4,UserCnt4,UserSize5,UserCnt5,UserSize6,UserCnt6,SAE4,SAE6,SAE14,SAE21,SAE38,SAE70,SAEmax,PctSoot,BSW,CFD,GOST,TotalFerrous,FerrousMaxDiam,FerrousMeanDiam,FerrousDiamStdev,Ferrous25,Ferrous38,Ferrous50,Ferrous100,FerrousStatus,SlidingLimit20,SlidingLimit25,SlidingLimit50,SlidingLimit100,SlidingLimitTotal,FatigueLimit20,FatigueLimit25,FatigueLimit50,FatigueLimit100,FatigueLimitTotal,CuttingLimit20,CuttingLimit25,CuttingLimit50,CuttingLimit100,CuttingLimitTotal,NonMetallicLimit20,NonMetallicLimit25,NonMetallicLimit50,NonMetallicLimit100,NonMetallicLimitTotal,SootLimit,GOSTLimit
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,0,TEST,2018-02-21 00:00:00.000,09:24:01.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,NULL,NULL,NULL,859387.5,293351.1,29956.13,8196.45,3572.71,152.07,23.1,255,7.05,3.03,27,25,20,12,NULL,NULL,17,NULL,847296.4,481205.8,281259.9,29915.34,5233.36,3701.91,867.56,752.51,326.5,27.99,18.66,15.55,6.22,0,651.45,396.47,27.99,0,80.33,28.08,8.78,2512.51,757.17,6.22,0,98.61,24.12,4.17,1481.7,429.12,3.11,3.11,161.69,24.15,7.34,1845.51,1226.71,41.98,1.55,123.16,29.49,8.63,223.89,88.62,43.53,13.99,395.6,44.3,60.99,199.01,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,0,0.01,245.62,NULL,0,0,0,0,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,2,TEST,2018-02-21 00:00:00.000,09:46:07.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,859.68,15.47,5.8,0,0,0,0,15,5.14,0.93,17,11,NULL,3,0,800,11,7,857.24,224.08,13.03,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,7,3,0,0,0,0,7,0,0,0.1,7,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,3,TEST,2018-02-21 00:00:00.000,09:52:54.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,2751.12,161.94,75.07,19.25,11.55,1.92,0,58,5.53,2.43,19,14,12,7,4,4400,17,9,2736.72,805.99,147.54,75.32,31.8,26.78,10.04,10.04,6.7,0,0,0,0,0,0,0,0,0,0,0,0,1.67,1.67,0,0,27.62,27.62,0,5.02,3.35,0,0,30.15,26.23,4.22,11.72,6.7,1.67,0,58.29,31,11.9,0,0,0,0,0,0,0,1.67,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,9,6,6,7,0,0,9,0,0,0.74,16,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,4,55504,2018-02-21 00:00:00.000,10:19:40.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,10774.87,371.34,101.98,32.71,21.17,1.92,0,58,5.26,1.57,21,16,13,8,4,4400,17,11,10754.5,3040.69,350.98,95.42,47.71,42.77,14.81,14.81,4.94,0,0,0,0,0,8.23,4.94,1.65,0,58.92,33.55,14.5,1.65,1.65,0,0,32.95,32.95,0.01,3.29,3.29,0,0,27.62,27.17,0.45,14.81,8.23,0,0,41.11,27.5,6.12,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,11,7,7,8,0,0,11,0,0,1.64,11,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,5,55519,2018-02-21 00:00:00.000,10:26:30.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,4561.14,549.86,28.86,9.62,5.77,0,0,37,5.67,1.86,19,16,10,8,5,2000,17,10,4548.42,1713.78,537.14,24.62,6.16,6.16,3.08,3.08,1.54,0,0,0,0,0,3.08,1.54,0,0,32.11,27.1,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,3.08,0,0,37.53,30.61,6.4,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,10,8,4,6,0,0,10,0,0,0.69,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,6,55520,2018-02-21 00:00:00.000,10:35:24.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,3872.79,583.54,73.12,28.86,11.55,3.85,0,96,5.97,2.68,19,16,12,8,5,21000,17,9,3845.43,1498.84,556.19,73.87,26.16,18.47,10.77,7.69,4.62,3.08,3.08,0,0,0,1.54,0,0,0,23.3,23.3,0,3.08,1.54,0,0,32.2,27.06,5.15,4.62,1.54,1.54,0,96.11,45.88,35.52,12.31,6.16,1.54,0,74.14,33.37,17.22,1.54,0,0,0,24.7,24.7,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,9,8,6,7,8,0,9,0,0,1.55,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,7,55521,2018-02-21 00:00:00.000,10:44:49.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,14256.38,1606.89,105.83,32.71,15.39,0,0,49,5.63,1.85,21,18,13,10,NULL,6300,17,11,14225.33,5162.1,1575.83,89.37,40.06,24.65,7.7,6.16,4.62,1.54,0,0,0,0,3.08,1.54,0,0,26.6,25.02,1.59,4.62,3.08,0,0,27.4,24.79,3.14,13.87,6.16,0,0,49.43,30.97,10.75,4.62,1.54,0,0,32.11,25.37,4.77,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,11,10,7,7,7,0,11,0,0,2.27,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,8,55521,2018-02-21 00:00:00.000,10:53:51.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,4166.24,452.13,26.94,13.47,3.85,1.92,0,59,5.62,2.02,19,16,11,8,5,2000,17,10,4153.97,1489.51,439.87,29.28,10.79,9.24,3.08,3.08,1.54,1.54,0,0,0,0,1.54,0,0,0,21.25,21.25,0,0,0,0,0,0,0,0,4.62,0,0,0,24.63,23.74,0.64,4.62,3.08,1.54,0,59.38,36.3,16.33,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,10,8,5,6,7,0,10,0,0,0.73,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,9,55522,2018-02-21 00:00:00.000,13:02:45.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,5646.09,244.14,25.01,11.55,7.7,0,0,29,5.26,1.35,20,15,9,7,3,2000,17,10,5640.17,1666.08,238.23,18.65,4.66,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,6.22,0,0,29.72,26.75,1.75,1.55,0,0,0,20.37,20.37,0,1.55,0,0,0,20.62,20.62,0,0,0,0,0,0,0,0,3.11,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,10,7,4,0,0,0,10,0,0,0.64,16,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,10,55523,2018-02-21 00:00:00.000,13:10:13.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,20806.45,939.84,3.85,1.92,1.92,1.92,0,67,5.23,1.13,22,17,8,9,6,6300,17,12,20806.14,6309.56,939.53,3.72,1.86,1.86,1.86,1.86,1.86,0,0,0,0,0,1.86,1.86,1.86,0,67.46,67.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,12,9,2,5,0,0,12,0,0,2.26,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
