employeeID,testStandID,testStand,qualificationLevel
74362,10,TAN by Color Indication,Q/QAG
74362,20,Water - KF,Q/QAG
74362,30,Emission Spectroscopy - Standard,TRAIN
74362,40,Emission Spectroscopy - Large,TRAIN
74362,50,Viscosity @ 40,Q/QAG
74362,60,Viscosity @ 100,Q/QAG
74362,70,FT-IR,TRAIN
74362,110,TBN by Auto Titration,Q/QAG
74362,140,Grease Dropping Point,Q/QAG
74362,170,RPVOT,TRAIN
74362,180,Filter Residue,Q/QAG
74362,240,Debris Identification,TRAIN
83046,10,TAN by Color Indication,Q/QAG
83046,20,Water - KF,Q/QAG
83046,30,Emission Spectroscopy - Standard,Q/QAG
83046,40,Emission Spectroscopy - Large,Q/QAG
83046,50,Viscosity @ 40,Q/QAG
83046,60,Viscosity @ 100,Q/QAG
83046,70,FT-IR,Q/QAG
83046,80,Flash Point,Q/QAG
83046,110,TBN by Auto Titration,Q/QAG
99850,120,Inspect Filter,Q/QAG
b6214,280,Misc. Tests,Q/QAG
83046,120,Inspect Filter,Q/QAG
83046,130,Grease Penetration Worked,Q/QAG
83046,140,Grease Dropping Point,TRAIN
83046,160,Particle Count,Q/QAG
83046,170,RPVOT,Q/QAG
83046,180,Filter Residue,MicrE
83046,210,Ferrography,MicrE
83046,220,Rust,Q/QAG
83046,230,TFOUT,Q/QAG
B6674,40,Emission Spectroscopy - Large,TRAIN
B6674,30,Emission Spectroscopy - Standard,TRAIN
B6674,70,FT-IR,TRAIN
83046,240,Debris Identification,MicrE
83046,250,Deleterious,Q/QAG
83046,270,Rheometer,Q/QAG
83046,285,Oil Content,Q/QAG
32418,10,TAN by Color Indication,TRAIN
32418,70,FT-IR,TRAIN
96949,10,TAN by Color Indication,Q/QAG
96949,20,Water - KF,Q/QAG
96949,30,Emission Spectroscopy - Standard,Q/QAG
96949,40,Emission Spectroscopy - Large,Q/QAG
96949,50,Viscosity @ 40,Q/QAG
96949,60,Viscosity @ 100,Q/QAG
96949,70,FT-IR,Q/QAG
96949,80,Flash Point,Q/QAG
96949,110,TBN by Auto Titration,Q/QAG
96949,120,Inspect Filter,MicrE
96949,130,Grease Penetration Worked,Q/QAG
C7162,50,Viscosity @ 40,TRAIN
99947,270,Rheometer,Q/QAG
96949,140,Grease Dropping Point,Q/QAG
96949,160,Particle Count,Q/QAG
96949,170,RPVOT,Q/QAG
96949,180,Filter Residue,MicrE
96949,210,Ferrography,MicrE
96949,220,Rust,Q/QAG
96949,230,TFOUT,Q/QAG
96949,240,Debris Identification,MicrE
96949,250,Deleterious,Q/QAG
96949,270,Rheometer,Q/QAG
96949,285,Oil Content,TRAIN
96949,286,Varnish Potential Rating,Q/QAG
83046,286,Varnish Potential Rating,Q/QAG
74362,270,Rheometer,Q/QAG
74362,286,Varnish Potential Rating,Q/QAG
02409,10,TAN by Color Indication,Q/QAG
02409,20,Water - KF,Q/QAG
02409,30,Emission Spectroscopy - Standard,Q/QAG
02409,40,Emission Spectroscopy - Large,Q/QAG
02409,50,Viscosity @ 40,Q/QAG
02409,60,Viscosity @ 100,Q/QAG
02409,70,FT-IR,Q/QAG
02409,80,Flash Point,Q/QAG
02409,110,TBN by Auto Titration,Q/QAG
02409,120,Inspect Filter,MicrE
02409,130,Grease Penetration Worked,Q/QAG
02409,140,Grease Dropping Point,Q/QAG
02409,160,Particle Count,Q/QAG
02409,170,RPVOT,Q/QAG
02409,180,Filter Residue,MicrE
02409,210,Ferrography,MicrE
02409,220,Rust,Q/QAG
02409,230,TFOUT,Q/QAG
02409,240,Debris Identification,MicrE
02409,250,Deleterious,Q/QAG
02409,270,Rheometer,Q/QAG
99850,160,Particle Count,MicrE
99850,180,Filter Residue,Q/QAG
74004,70,FT-IR,TRAIN
74004,10,TAN by Color Indication,Q/QAG
74004,60,Viscosity @ 100,Q/QAG
74004,50,Viscosity @ 40,Q/QAG
74004,20,Water - KF,Q/QAG
99850,210,Ferrography,Q/QAG
99850,240,Debris Identification,Q/QAG
Q3811,10,TAN by Color Indication,Q/QAG
Q3811,40,Emission Spectroscopy - Large,Q/QAG
Q3811,50,Viscosity @ 40,Q/QAG
Q3811,60,Viscosity @ 100,Q/QAG
Q3811,70,FT-IR,Q/QAG
Q3811,80,Flash Point,Q/QAG
Q3811,110,TBN by Auto Titration,Q/QAG
Q3811,120,Inspect Filter,MicrE
Q3811,130,Grease Penetration Worked,Q/QAG
Q3811,140,Grease Dropping Point,Q/QAG
Q3811,160,Particle Count,Q/QAG
Q3811,170,RPVOT,Q/QAG
01832,10,TAN by Color Indication,Q/QAG
01832,20,Water - KF,Q/QAG
02015,40,Emission Spectroscopy - Large,TRAIN
02015,30,Emission Spectroscopy - Standard,TRAIN
01832,30,Emission Spectroscopy - Standard,Q/QAG
01832,40,Emission Spectroscopy - Large,Q/QAG
01832,50,Viscosity @ 40,Q/QAG
02015,210,Ferrography,TRAIN
01832,60,Viscosity @ 100,Q/QAG
01832,70,FT-IR,Q/QAG
01832,80,Flash Point,TRAIN
01832,110,TBN by Auto Titration,Q/QAG
01832,120,Inspect Filter,Q/QAG
01832,140,Grease Dropping Point,Q/QAG
01832,160,Particle Count,Q/QAG
01832,170,RPVOT,Q/QAG
01832,180,Filter Residue,Q/QAG
01832,210,Ferrography,TRAIN
01832,220,Rust,Q/QAG
01832,230,TFOUT,Q/QAG
01832,240,Debris Identification,Q/QAG
01832,250,Deleterious,Q/QAG
01832,270,Rheometer,Q/QAG
01832,286,Varnish Potential Rating,Q/QAG
Q3811,180,Filter Residue,MicrE
Q3811,210,Ferrography,MicrE
Q3811,220,Rust,Q/QAG
Q3811,230,TFOUT,Q/QAG
Q3811,240,Debris Identification,MicrE
Q3811,250,Deleterious,Q/QAG
Q3811,280,Misc. Tests,Q/QAG
Q3811,284,D-inch,Q/QAG
Q3811,285,Oil Content,Q/QAG
Q3811,286,Varnish Potential Rating,Q/QAG
Q3811,20,Water - KF,Q/QAG
Q3811,30,Emission Spectroscopy - Standard,Q/QAG
Q3811,270,Rheometer,Q/QAG
06175,10,TAN by Color Indication,Q/QAG
06175,20,Water - KF,Q/QAG
06175,30,Emission Spectroscopy - Standard,Q/QAG
06175,40,Emission Spectroscopy - Large,Q/QAG
06175,50,Viscosity @ 40,Q/QAG
06175,60,Viscosity @ 100,Q/QAG
06175,70,FT-IR,Q/QAG
06175,80,Flash Point,Q/QAG
06175,110,TBN by Auto Titration,Q/QAG
06175,120,Inspect Filter,Q/QAG
06175,140,Grease Dropping Point,Q/QAG
06175,160,Particle Count,Q/QAG
06175,170,RPVOT,Q/QAG
06175,180,Filter Residue,Q/QAG
