tagNumber,component,location,lubeClassItemNumber,lubeQuantityRequired,lubeUnitsOfMeasure,testCategory,qualityClass,pricingPackageId,testPricesId,lastSampleDate,changeTaskNumber,changeIntervalType,changeIntervalNumber,lastChangeDate,inProgram,testsScheduled,applid,material_info
00,000,000,NULL,NULL,NULL,NULL,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
0678788,000,000,NULL,NULL,NULL,NULL,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
0678789,000,000,NULL,NULL,NULL,NULL,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
0679230,000,000,NULL,NULL,NULL,NULL,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
0872341,000,000,NULL,NULL,NULL,NULL,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
12345,000,000,NULL,NULL,NULL,NULL,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
1265322,000,000,NULL,NULL,NULL,NULL,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
1295666,000,000,NULL,NULL,NULL,NULL,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
1AZTNDT106,031,009,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
1EPEAG01,010,002,4390000072,4,GAL,B,Q,37,1,NULL,028099,NULL,NULL,NULL,1,1,20973,NULL
1EPEBG02,010,002,4390000072,4,GAL,B,Q,37,1,NULL,028105,NULL,NULL,NULL,1,1,25933,NULL
1EQFNJYFG10B,138,009,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,1,1,492622,NULL
1JAFAHV0032,002,066,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,6144,NULL
1JAFAHV0032,097,040,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,6144,NULL
1JAFAHV0032,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6144,NULL
1JAFAHV0032,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6144,NULL
1JAFAHV0032,099,040,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,6144,NULL
1JAFAHV0032,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6144,NULL
1JAFAHV0054,002,066,4390000122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12974,NULL
1JAFAHV0054,024,016,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
1JAFAHV0054,097,040,4390000122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12974,NULL
1JAFAHV0054,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12974,NULL
1JAFAHV0054,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12974,NULL
1JAFAHV0054,099,040,4390000094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12974,NULL
1JAFAHV0054,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12974,NULL
1JAFAUV0037,002,066,4390000122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12975,NULL
1JAFAUV0037,097,040,4390000122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12975,NULL
1JAFAUV0037,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12975,NULL
1JAFAUV0037,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12975,NULL
1JAFAUV0037,099,040,4390000094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12975,NULL
1JAFAUV0037,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12975,NULL
1JAFBHV0030,002,066,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6142,NULL
1JAFBHV0030,097,040,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6142,NULL
1JAFBHV0030,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6142,NULL
1JAFBHV0030,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6142,NULL
1JAFBHV0030,099,040,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6142,NULL
1JAFBHV0030,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6142,NULL
1JAFBHV0031,002,066,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6143,NULL
1JAFBHV0031,097,040,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6143,NULL
1JAFBHV0031,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6143,NULL
1JAFBHV0031,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6143,NULL
1JAFBHV0031,099,040,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6143,NULL
1JAFBHV0031,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6143,NULL
1JAFBUV0034,002,066,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12976,NULL
1JAFBUV0034,097,040,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12976,NULL
1JAFBUV0034,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12976,NULL
1JAFBUV0034,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12976,NULL
1JAFBUV0034,099,040,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12976,NULL
1JAFBUV0034,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12976,NULL
1JAFBUV0035,002,066,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12977,NULL
1JAFBUV0035,097,040,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12977,NULL
1JAFBUV0035,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12977,NULL
1JAFBUV0035,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12977,NULL
1JAFBUV0035,099,040,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12977,NULL
1JAFBUV0035,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12977,NULL
1JAFCHV0033,002,066,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,6145,NULL
1JAFCHV0033,097,040,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,6145,NULL
1JAFCHV0033,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6145,NULL
1JAFCHV0033,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6145,NULL
1JAFCHV0033,099,040,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,6145,NULL
1JAFCHV0033,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,6145,NULL
1JAFCUV0036,002,066,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12978,NULL
1JAFCUV0036,097,040,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12978,NULL
1JAFCUV0036,098,067,43900094,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12978,NULL
1JAFCUV0036,098,092,43900122,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12978,NULL
1JAFCUV0036,099,040,NULL,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,1,1,12978,NULL
1JAFCUV0036,125,033,43900687,NULL,NULL,NULL,Q,37,1,NULL,NULL,NULL,NULL,NULL,0,1,12978,NULL
1JAFNHV0095,097,040,4390000150,NULL,NULL,NULL,QAG,37,1,NULL,NULL,NULL,NULL,NULL,1,1,19214,NULL
1JCDNHV0001,097,040,43900086,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19147,NULL
1JCDNHV0001,099,040,43900477,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19147,NULL
1JCDNHV0001,101,069,43900808,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19147,NULL
1JCDNHV0001,125,033,43900687,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19147,NULL
1JCDNHV0002,097,040,43900086,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,70826,NULL
1JCDNHV0002,099,040,43900477,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,70826,NULL
1JCDNHV0002,101,069,43900808,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,70826,NULL
1JCDNHV0002,125,033,43900687,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,70826,NULL
1JCDNHV0029,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,32467,NULL
1JCDNHV0030,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,70830,NULL
1JCDNHV0031,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19415,NULL
1JCDNHV0032,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19167,NULL
1JCDNHV0033,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19171,NULL
1JCDNHV0191,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19163,NULL
1JCDNHV0199,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,21278,NULL
1JCDNHV0275,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,70832,NULL
1JCDNLV0081,005,025,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL
1JCDNLV0081,005,055,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL
1JCDNUV0214A,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19150,NULL
1JCDNUV0214B,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19160,NULL
1JCDNUV0215A,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,19153,NULL
1JCDNUV0215B,097,040,NULL,NULL,NULL,NULL,NQR,37,1,NULL,NULL,NULL,NULL,NULL,0,1,48506,NULL
