type,classItemNumber,cupNumber,healthHazard,fireHazard,specificHazard,reactivity,pricingPackageId,tube_size_vis40,tube_size_vis100
UAT LUBE,NULL,NULL,0,0,0,0,NULL,350,NULL
T68 BLEND,0,NULL,0,0,0,0,NULL,NULL,NULL
DIESEL FUEL,00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ROYCO 5180,000,NULL,0,0,0,0,0,350,NULL
RHEOLUBE 797,0000,000,0,0,0,0,NULL,NULL,NULL
OMALA S2 G 460,00000,0,0,1,0,0,0,NULL,NULL
OMALA S2 G 150,000000,0,0,1,0,0,0,NULL,NULL
OMALA S2 G 320,0000000,0,0,1,0,0,0,NULL,NULL
OMALA S2 G 220,00000000,0,0,1,0,0,0,NULL,NULL
OMALA S2 G 680,000000000,0,0,1,0,0,0,NULL,NULL
GADUS S5 T100 2,00001234,NULL,0,0,0,0,0,NULL,NULL
GADUS S5 V100 2,0001234,NULL,0,0,0,0,0,NULL,NULL
ROYCO 5220,00049974,NULL,0,0,0,0,37,350,NULL
EXXON POLYSTAR RB2 GREASE,00052678,NULL,0,0,0,0,0,NULL,NULL
MOBIL SHC 624,00052773,NULL,0,0,0,0,0,250,NULL
CHEVRON COUPLING GREASE,00059184,NULL,0,0,0,0,0,NULL,NULL
MOBIL SHC 626,00059703,8864,0,1,NULL,0,NULL,300,NULL
CONOCO HC 32,00063344,1062,0,0,0,0,0,NULL,NULL
CHEVRON GST 68,00064008,NULL,0,0,0,0,0,NULL,NULL
ROYCO 5180U,00065115,9001,1,1,0,0,NULL,350,NULL
MOV LONG LIFE,00065243,NULL,0,0,0,0,0,NULL,NULL
EXXON PREMIUM RB GREASE,00065308,NULL,0,0,0,0,0,NULL,NULL
CHEVRON GST 32,00069387,NULL,0,0,0,0,0,NULL,NULL
XL 700 INGERSOLL  RAND,00071715,9089,1,1,0,0,37,300,NULL
PALLUBE 32,00074925,9108,1,1,0,0,NULL,250,NULL
QUAKER HYDRAULIC FLUID,00078489,566,0,1,NULL,0,NULL,NULL,NULL
TELLUS PREMIUM 68,00095306,1060,0,1,NULL,0,0,NULL,NULL
UNKNOWN,00098,999,0,0,0,0,NULL,NULL,NULL
LS-100 KRONAPLATE,00100751,9267,0,1,0,0,NULL,NULL,NULL
NYOGEL 792D,00101745,9179,1,1,0,0,37,NULL,NULL
MOBIL SHC 625,00101849,4570,0,1,0,0,NULL,250,NULL
COSMOLUBRIC B230,00102020,566,0,0,0,0,NULL,NULL,NULL
MOBIL POLYREX EM,00107375,9034,1,1,0,0,NULL,NULL,NULL
GARLOCK BLUE-GARD 3300,00115380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUBOIS MPG 2,00117223,4213,1,1,0,1,NULL,NULL,NULL
GARLOCK STYLE 9518,00118094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CARRIER POE 68,00122744,8584,1,1,0,0,431,NULL,NULL
5500 CT-GEAR-180,00123465,9001,2,1,0,1,NULL,350,NULL
MOBIL SHC 627,00123699,4570,0,1,NULL,0,NULL,NULL,NULL
MORLINA S3 BA 100,00125349,0,0,1,0,0,0,NULL,NULL
