eq_tag_num,lube_component_code,lube_location_code,applid,lube_part_order_num,lube_qty_reqd,lube_unit,in_pgm_indicator,pgm_status_code,lcde_reqd,first_lcde_freq,first_lcde_freq_intvl,next_lcde_override_freq,next_lcde_override_freq_intvl,sample_window_freq,sample_window_freq_intvl,last_lcde_date,next_lcde_date,sample_plug_installed,eq_group_id,last_sample_date,last_change_date,material_info
1AZTNDT106,031,009,77777,9999999999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1EPEAG01,010,002,20973,43900072," 4",GAL,Y,P,N,NULL,NULL," ",0,D,5,NULL,NULL,NULL,NULL,1997-06-13 00:00:00.000,1997-06-13 00:00:00.000,NULL
1EPEBG02,010,002,25933,43900072,4,GAL,Y,P,N,NULL,NULL," ",0,D,5,NULL,NULL,NULL,NULL,1997-07-02 00:00:00.000,1997-07-02 00:00:00.000,NULL
1EQFNJYFG10B,138,009,492622,43900122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1FWNHV0101,097,040,71175,43900150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0032,002,066,6144,4390000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0032,097,040,6144,4390000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0032,098,067,6144,43900094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0032,098,092,6144,43900122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0032,099,040,6144,4390000094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0032,125,033,6144,43900687,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0054,002,066,12974,4390000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0054,024,016,12974,43900122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0054,097,040,12974,4390000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0054,098,067,12974,43900094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0054,098,092,12974,43900122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0054,099,040,12974,4390000094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAHV0054,125,033,12974,43900687,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAUV0037,002,066,12975,4390000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1JAFAUV0037,097,040,12975,4390000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
