eq_tag_num,lube_component_code,lube_location_code,lcde_id,sample_id,disposition,wr_num,comments,completed_date,enterID,reviewID,PDFFile
2MCDNP01B,002,003,"97-CD-7442  ",7442,0," ",Oil acceptance criteria modeled after Turbo 68 oil.,1997-08-29 00:00:00.000,"0         ","0         ",NULL
2MRCEP01A,002,003,"97-RC-7780  ",7780,0," ","Oil RBOT time of 2685 minutes.  FTIR was satisfactory.  Particle count was high.  A recommendation to the maint. team/engineer was made to clean oil.  Oil is satisfactory for additional use. ",1997-10-02 00:00:00.000,"0         ","0         ",NULL
1MTCNP01A,002,001,"97-TC-7511  ",7511,0," "," ",1997-10-04 00:00:00.000,"0         ","0         ",NULL
3JSGAUV0177,005,009,"97-SG-7337  ",7337,0," "," ",1997-08-25 00:00:00.000,"0         ","0         ",NULL
2MSPBP01,002,003,"97-SP-7361  ",7361,0," "," ",1997-10-11 00:00:00.000,"0         ","0         ",NULL
2MSIAP03,002,003,"97-SI-7615  ",7615,0," "," ",1997-10-11 00:00:00.000,"0         ","0         ",NULL
1MCHEP01,001,006,"97-CH-8110  ",8110,0," "," ",1997-11-05 00:00:00.000,"0         ","0         ",NULL
3MDGNC02B,003,006,"97-DG-8303  ",8303,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MTCNP01A,002,002,"97-TC-8556  ",8556,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
1MNCNP01A,002,002,"98-NC-8468  ",8468,0," "," ",1998-01-14 00:00:00.000,"0         ","0         ",NULL
1MAFBP01,002,001,"98-AF-8601  ",8601,0," "," ",1998-01-15 00:00:00.000,"0         ","0         ",NULL
2MPWNP01A,002,004,"98-PW-8141  ",8141,0," ",Higher than expected water.,1998-01-21 00:00:00.000,"0         ","0         ",NULL
1MSCNP09,138,009,"98-SC-8727  ",8727,0," "," ",1998-01-23 00:00:00.000,"0         ","0         ",NULL
2MSCNP13,064,040,"98-SC-8833  ",8833,0," "," ",1998-02-17 00:00:00.000,"0         ","0         ",NULL
1MZCNG06B,031,009,"98-ZC-8778  ",8778,2,939749,ACID NUMBER OF 2.08....CHANGE OIL,1998-03-12 00:00:00.000,"0         ","0         ",NULL
1MARNP01B,001,002,"98-AR-8958  ",8958,2,940482,Abrasive material found in oil.,1998-03-26 00:00:00.000,"0         ","0         ",NULL
2MARNP01A,001,002,"98-AR-8932  ",8932,0," "," ",1998-03-30 00:00:00.000,"0         ","0         ",NULL
2MOSNT01B,011,060,"98-OS-8944  ",8944,0," ",System RBOT time exceeds 100 minutes. NAS 9 criteria satisfied.,1998-04-08 00:00:00.000,"0         ","0         ",NULL
