ID,group_name,valueat,tagNumber,component,location,exclude,excluded_on,fname
5444,"Tommy Test                              ",258,11126-24,000,000,NULL,NULL,NULL
5445,"Tommy Test                              ",258,11127-24,000,000,NULL,NULL,NULL
5446,"Tommy Test                              ",258,11136-24,000,000,NULL,NULL,NULL
5447,"Tommy Test                              ",258,11155-24,000,000,NULL,NULL,NULL
5448,"Tommy Test                              ",258,11175-24,000,000,NULL,NULL,NULL
5449,"Tommy Test                              ",258,2030111,000,000,NULL,NULL,NULL
5450,"Tommy Test                              ",258,TD0111066,000,000,NULL,NULL,NULL
5451,"Tommy Test                              ",258,TD1112319,000,000,NULL,NULL,NULL
5452,"Tommy Test                              ",258,TD1113974,000,000,NULL,NULL,NULL
5453,"Tommy Test                              ",258,TD1114304,000,000,NULL,NULL,NULL
5454,"Tommy Test                              ",258,TD011222,000,000,NULL,NULL,NULL
5455,"Tommy Test                              ",258,TD0222949,000,000,NULL,NULL,NULL
5456,"Tommy Test                              ",258,TD0322228,000,000,NULL,NULL,NULL
5457,"Tommy Test                              ",258,TD0523222,000,000,NULL,NULL,NULL
5458,"Tommy Test                              ",258,TD1302223,000,000,NULL,NULL,NULL
5459,"Tommy Test                              ",258,TD1322229,000,000,NULL,NULL,NULL
5460,"Tommy Test                              ",258,TD1622296,000,000,NULL,NULL,NULL
5461,"Tommy Test                              ",258,TD1622297,000,000,NULL,NULL,NULL
5462,"Tommy Test                              ",258,TD0292333,000,000,NULL,NULL,NULL
5463,"Tommy Test                              ",258,TD1475333,000,000,NULL,NULL,NULL
5464,"Tommy Test                              ",258,TD1933395,000,000,NULL,NULL,NULL
5465,"Tommy Test                              ",258,TD333999,000,000,NULL,NULL,NULL
5466,"Tommy Test                              ",258,TD0124445,000,000,NULL,NULL,NULL
5467,"Tommy Test                              ",258,TD0144426,000,000,NULL,NULL,NULL
5468,"Tommy Test                              ",258,TD0232444,000,000,NULL,NULL,NULL
5469,"Tommy Test                              ",258,TD0244411,000,000,NULL,NULL,NULL
5470,"Tommy Test                              ",258,TD0244419,000,000,NULL,NULL,NULL
5471,"Tommy Test                              ",258,TD1744416,000,000,NULL,NULL,NULL
5472,"Tommy Test                              ",258,TD0415556,000,000,NULL,NULL,NULL
5473,"Tommy Test                              ",258,TD1155521,000,000,NULL,NULL,NULL
5474,"Tommy Test                              ",258,TD1155549,000,000,NULL,NULL,NULL
5475,"Tommy Test                              ",258,TD1575551,000,000,NULL,NULL,NULL
5476,"Tommy Test                              ",258,TD2085550,000,000,NULL,NULL,NULL
5477,"Tommy Test                              ",258,1JSIAUV0666,099,020,NULL,NULL,NULL
5478,"Tommy Test                              ",258,3JSIAUV0666,002,066,NULL,NULL,NULL
5479,"Tommy Test                              ",258,TD0006665,000,000,NULL,NULL,NULL
5480,"Tommy Test                              ",258,TD0006666,000,000,NULL,NULL,NULL
5481,"Tommy Test                              ",258,TD0273777,000,000,NULL,NULL,NULL
5482,"Tommy Test                              ",258,TD0777164,000,000,NULL,NULL,NULL
5483,"Tommy Test                              ",258,TD1327773,000,000,NULL,NULL,NULL
5484,"Tommy Test                              ",258,TD1777539,000,000,NULL,NULL,NULL
5485,"Tommy Test                              ",258,TD1777540,000,000,NULL,NULL,NULL
5486,"Tommy Test                              ",258,TD0888603,000,000,NULL,NULL,NULL
5487,"Tommy Test                              ",258,TD0948884,000,000,NULL,NULL,NULL
5488,"Tommy Test                              ",258,TD1888649,000,000,NULL,NULL,NULL
5489,"Tommy Test                              ",258,TD2033888,000,000,NULL,NULL,NULL
5490,"Tommy Test                              ",258,TD2075888,000,000,NULL,NULL,NULL
5491,"Tommy Test                              ",258,TD2100888,000,000,NULL,NULL,NULL
5492,"Tommy Test                              ",258,TD0699900,000,000,NULL,NULL,NULL
5493,"Tommy Test                              ",258,TD1099960,000,000,NULL,NULL,NULL
5494,"Tommy Test                              ",258,TD1179992,000,000,NULL,NULL,NULL
5495,"Tommy Test                              ",258,TD1180999,000,000,NULL,NULL,NULL
5496,"Tommy Test                              ",258,TD1199985,000,000,NULL,NULL,NULL
5497,"Tommy Test                              ",258,TD1264999,000,000,NULL,NULL,NULL
5498,"Tommy Test                              ",258,TD1767999,000,000,NULL,NULL,NULL
5499,"Tommy Test                              ",258,TD1999277,000,000,NULL,NULL,NULL
5503,"Chem Addition                           ",18,1MSCNP13,001,238,NULL,NULL,NULL
5501,"Aux Hoist                               ",166,1MZCNG01,171,007,NULL,NULL,NULL
3398,"PC Wtr Upper                            ",1,1MPWNP01B,002,003,NULL,NULL,NULL
3399,"Breathing Air Comp                      ",39,2MIANC02,003,115,NULL,NULL,NULL
5411,"RCP Mtr Brgs                            ",130,2MRCEP01A,002,003,NULL,NULL,NULL
3964,"Polar Crane Bridge Drive                ",142,3MZCNG01,042,047,NULL,NULL,NULL
5123,"Crane gearbox with Omala 320            ",181,2MZFNG02,261,007,NULL,NULL,NULL
3333,"V - SMC-04D gear                        ",65,2JFTNHV0014,097,040,NULL,NULL,NULL
16,"U1  tower gear                          ",3,1MCWNA01B,031,009,NULL,NULL,
4864,"U1  tower gear                          ",3,1MCWNA01C,031,009,NULL,NULL,NULL
18,"U1  tower gear                          ",3,1MCWNA01D,031,009,NULL,NULL,
19,"U1  tower gear                          ",3,1MCWNA01E,031,009,NULL,NULL,
4553,"Chem Addition                           ",18,3MSCNP14,064,040,NULL,NULL,NULL
4730,"AR Gear w/syn                           ",126,1MARNP01A,001,047,NULL,NULL,
22,"U1  tower gear                          ",3,1MCWNA01H,031,009,NULL,NULL,
23,"U1  tower gear                          ",3,1MCWNA01I,031,009,NULL,NULL,
24,"U1  tower gear                          ",3,1MCWNA01J,031,009,NULL,NULL,
25,"U1  tower gear                          ",3,1MCWNA01K,031,009,NULL,NULL,
26,"U1  tower gear                          ",3,1MCWNA01L,031,009,NULL,NULL,
27,"U1  tower gear                          ",3,1MCWNA01M,031,009,NULL,NULL,
28,"U1  tower gear                          ",3,1MCWNA01N,031,009,NULL,NULL,
29,"U1  tower gear                          ",3,1MCWNA01O,031,009,NULL,NULL,
30,"U1  tower gear                          ",3,1MCWNA01P,031,009,NULL,NULL,
31,"U1  tower gear                          ",3,1MCWNA02A,031,009,NULL,NULL,
32,"U1  tower gear                          ",3,1MCWNA02B,031,009,NULL,NULL,
4753,"U1  tower gear                          ",3,1MCWNA02C,031,009,NULL,NULL,NULL
4144,"V - SMB-00 Gear 8910 mild               ",54,1JAFBHV0031,097,040,NULL,NULL,NULL
35,"U1  tower gear                          ",3,1MCWNA02E,031,009,NULL,NULL,
36,"U1  tower gear                          ",3,1MCWNA02F,031,009,NULL,NULL,
37,"U1  tower gear                          ",3,1MCWNA02G,031,009,NULL,NULL,
38,"U1  tower gear                          ",3,1MCWNA02H,031,009,NULL,NULL,
4749,"U1  tower gear                          ",3,1MCWNA02I,031,009,NULL,NULL,NULL
3617,"Aux Hoist                               ",166,3MZCNG01,171,007,NULL,NULL,NULL
41,"U1  tower gear                          ",3,1MCWNA02K,031,009,NULL,NULL,
42,"U1  tower gear                          ",3,1MCWNA02L,031,009,NULL,NULL,
43,"U1  tower gear                          ",3,1MCWNA02M,031,009,NULL,NULL,
44,"U1  tower gear                          ",3,1MCWNA02N,031,009,NULL,NULL,
2191,"V - SB-1 LS 8910                        ",101,3JCHAHV0531,099,040,NULL,NULL,
46,"U1  tower gear                          ",3,1MCWNA02P,031,009,NULL,NULL,
