SampleID,testID,ParticleTypeDefinitionID,ParticleSubTypeCategoryID,Value
51959,180,3,1,1
51959,180,3,2,1
51959,180,3,3,1
51959,180,3,4,1
51959,180,3,5,2
51959,180,3,6,2
51959,180,3,7,2
51959,180,3,8,8
51959,180,10,1,1
51959,180,10,2,1
51959,180,10,3,1
51959,180,10,4,1
51959,180,10,5,2
51959,180,10,6,1
51959,180,10,7,2
51959,180,10,8,8
51959,180,16,1,1
51959,180,16,2,1
51959,180,16,3,1
51959,180,16,4,2
51959,180,16,5,5
51959,180,16,6,8
51959,180,16,7,7
51959,180,16,8,8
52008,210,2,1,1
52008,210,2,2,1
52008,210,2,3,1
52008,210,2,4,1
52008,210,2,5,2
52008,210,2,6,4
52008,210,2,7,1
52008,210,2,8,1
52008,210,3,1,1
52008,210,3,2,2
52008,210,3,3,1
52008,210,3,4,1
52008,210,3,5,2
52008,210,3,6,2
52008,210,3,7,7
52008,210,3,8,1
52008,210,10,1,1
52008,210,10,2,1
52008,210,10,3,1
52008,210,10,4,1
52008,210,10,5,2
52008,210,10,6,1
52008,210,10,7,3
52008,210,10,8,1
52008,210,16,1,1
52008,210,16,2,1
52008,210,16,3,1
52008,210,16,4,1
52008,210,16,5,3
52008,210,16,6,5
52008,210,16,7,7
52008,210,16,8,8
52016,180,5,1,2
52016,180,5,2,1
52016,180,5,3,2
52016,180,5,4,1
52016,180,5,5,5
52016,180,5,6,4
52016,180,5,7,4
52016,180,5,8,1
52016,180,7,1,2
52016,180,7,2,1
52016,180,7,3,2
52016,180,7,4,1
52016,180,7,5,5
52016,180,7,6,4
52016,180,7,7,1
52016,180,7,8,1
52016,180,10,1,1
52016,180,10,2,1
52016,180,10,3,1
52016,180,10,4,1
52016,180,10,5,2
52016,180,10,6,1
52016,180,10,7,2
52016,180,10,8,8
52016,180,16,1,1
52016,180,16,2,1
52016,180,16,3,1
52016,180,16,4,3
52016,180,16,5,5
52016,180,16,6,2
52016,180,16,7,7
52016,180,16,8,8
52018,180,5,1,2
52018,180,5,2,1
52018,180,5,3,2
52018,180,5,4,1
52018,180,5,5,5
52018,180,5,6,4
52018,180,5,7,1
52018,180,5,8,1
52018,180,6,1,2
52018,180,6,2,1
52018,180,6,3,3
52018,180,6,4,1
52018,180,6,5,3
52018,180,6,6,4
52018,180,6,7,1
52018,180,6,8,1
52018,180,7,1,2
52018,180,7,2,1
52018,180,7,3,2
52018,180,7,4,1
52018,180,7,5,3
52018,180,7,6,4
52018,180,7,7,4
52018,180,7,8,1
52018,180,10,1,1
52018,180,10,2,1
52018,180,10,3,1
52018,180,10,4,1
52018,180,10,5,2
52018,180,10,6,1
52018,180,10,7,2
52018,180,10,8,8
52030,210,2,1,1
52030,210,2,2,1
52030,210,2,3,3
52030,210,2,4,1
52030,210,2,5,2
52030,210,2,6,4
52030,210,2,7,1
52030,210,2,8,1
52030,210,3,1,1
52030,210,3,2,1
52030,210,3,3,1
52030,210,3,4,1
52030,210,3,5,2
52030,210,3,6,2
52030,210,3,7,2
52030,210,3,8,1
52030,210,5,1,1
52030,210,5,2,1
52030,210,5,3,1
52030,210,5,4,1
52030,210,5,5,1
52030,210,5,6,4
52030,210,5,7,1
52030,210,5,8,1
52030,210,6,1,1
52030,210,6,2,5
52030,210,6,3,1
52030,210,6,4,1
52030,210,6,5,2
52030,210,6,6,1
52030,210,6,7,1
52030,210,6,8,8
52030,210,10,1,1
52030,210,10,2,1
52030,210,10,3,1
52030,210,10,4,1
52030,210,10,5,2
52030,210,10,6,1
52030,210,10,7,2
52030,210,10,8,1
52030,210,11,1,1
52030,210,11,2,1
52030,210,11,3,1
52030,210,11,4,1
52030,210,11,5,1
52030,210,11,6,6
52030,210,11,7,1
52030,210,11,8,3
52030,210,15,1,1
52030,210,15,2,1
52030,210,15,3,1
52030,210,15,4,1
52030,210,15,5,2
52030,210,15,6,8
52030,210,15,7,3
52030,210,15,8,8
52030,210,16,1,1
52030,210,16,2,1
52030,210,16,3,1
52030,210,16,4,1
52030,210,16,5,3
52030,210,16,6,1
52030,210,16,7,7
52030,210,16,8,8
52036,210,2,1,2
52036,210,2,2,1
52036,210,2,3,2
52036,210,2,4,1
52036,210,2,5,1
52036,210,2,6,4
52036,210,2,7,1
52036,210,2,8,1
52036,210,9,1,2
52036,210,9,2,2
52036,210,9,3,2
52036,210,9,4,1
52036,210,9,5,1
52036,210,9,6,2
52036,210,9,7,1
52036,210,9,8,1
52036,210,10,1,2
52036,210,10,2,1
52036,210,10,3,1
52036,210,10,4,1
52036,210,10,5,2
52036,210,10,6,1
52036,210,10,7,2
52036,210,10,8,1
52036,210,16,1,1
52036,210,16,2,1
52036,210,16,3,1
52036,210,16,4,1
52036,210,16,5,2
52036,210,16,6,8
52036,210,16,7,7
52036,210,16,8,8
52043,180,3,1,2
52043,180,3,2,1
52043,180,3,3,4
52043,180,3,4,1
52043,180,3,5,1
52043,180,3,6,2
52043,180,3,7,2
52043,180,3,8,1
52043,180,5,1,1
52043,180,5,2,1
52043,180,5,3,1
52043,180,5,4,1
52043,180,5,5,3
52043,180,5,6,4
52043,180,5,7,1
52043,180,5,8,1
52043,180,10,1,1
52043,180,10,2,1
52043,180,10,3,1
52043,180,10,4,1
52043,180,10,5,1
52043,180,10,6,1
52043,180,10,7,2
52043,180,10,8,1
52043,180,11,1,1
52043,180,11,2,1
52043,180,11,3,1
52043,180,11,4,1
52043,180,11,5,2
52043,180,11,6,1
52043,180,11,7,1
52043,180,11,8,3
52043,180,16,1,1
52043,180,16,2,1
52043,180,16,3,1
52043,180,16,4,1
52043,180,16,5,3
52043,180,16,6,8
52043,180,16,7,7
52043,180,16,8,8
52067,240,3,1,1
52067,240,3,2,1
52067,240,3,3,1
52067,240,3,4,1
52067,240,3,5,2
52067,240,3,6,2
52067,240,3,7,2
52067,240,3,8,1
52067,240,10,1,1
52067,240,10,2,1
52067,240,10,3,1
52067,240,10,4,1
52067,240,10,5,2
52067,240,10,6,1
52067,240,10,7,2
52067,240,10,8,1
52067,240,11,1,1
52067,240,11,2,1
52067,240,11,3,1
52067,240,11,4,1
52067,240,11,5,4
52067,240,11,6,2
52067,240,11,7,2
52067,240,11,8,3
52067,240,16,1,1
52067,240,16,2,1
52067,240,16,3,1
52067,240,16,4,1
52067,240,16,5,5
52030,210,9,1,3
52030,210,9,2,1
52030,210,9,3,3
52030,210,9,4,1
52030,210,9,5,1
52030,210,9,6,2
52030,210,9,7,1
52030,210,9,8,1
52038,240,3,1,1
52038,240,3,2,1
52038,240,3,3,1
52038,240,3,4,1
52038,240,3,5,1
52038,240,3,6,2
52038,240,3,7,2
52038,240,3,8,1
52038,240,10,1,1
52038,240,10,2,1
52038,240,10,3,1
52038,240,10,4,1
52038,240,10,5,1
52038,240,10,6,1
52038,240,10,7,2
52038,240,10,8,1
52038,240,11,1,2
52038,240,11,2,1
52038,240,11,3,1
52038,240,11,4,1
52038,240,11,5,4
52038,240,11,6,6
52038,240,11,7,1
52038,240,11,8,3
52038,240,16,1,1
52038,240,16,2,1
52038,240,16,3,1
52038,240,16,4,1
52038,240,16,5,3
52038,240,16,6,8
52038,240,16,7,7
52038,240,16,8,8
