SampleID,testID,ParticleTypeDefinitionID,Status,Comments
51959,180,1,0,
51959,180,2,0,
51959,180,3,1,
51959,180,4,0,
51959,180,5,0,
51959,180,6,0,
51959,180,7,0,
51959,180,8,0,
51959,180,9,0,
51959,180,10,1,
51959,180,11,0,
51959,180,12,0,
51959,180,13,0,
51959,180,14,0,
51959,180,15,0,
51959,180,16,1,
52016,180,1,0,
52016,180,2,0,
52016,180,3,0,
52016,180,4,0,
52016,180,5,1,
52016,180,6,0,
52016,180,7,1,IMAGE TAKEN PARTICLE 139 uM
52016,180,8,0,
52016,180,9,0,
52016,180,10,1,
52016,180,11,0,
52016,180,12,0,
52016,180,13,0,
52016,180,14,0,
52016,180,15,0,
52016,180,16,1,"ONE BLUE, ONE BLACK, ONE RED"
52008,210,1,0,
52008,210,2,1,
52008,210,3,1,
52008,210,4,0,
52008,210,5,0,
52008,210,6,0,
52008,210,7,0,
52008,210,8,0,
52008,210,9,0,
52008,210,10,1,
52008,210,11,0,
52008,210,12,0,
52008,210,13,0,
52008,210,14,0,
52008,210,15,0,
52008,210,16,1,Very few fibers
52043,180,1,0,
52043,180,2,0,
52043,180,3,1,SOME BLUE COLOR
52043,180,4,0,
52043,180,5,1,ABRASIVE WEAR PARTICLE 27 uM
52043,180,6,0,
52043,180,7,0,
52043,180,8,0,
52043,180,9,0,
52043,180,10,1,FEW RED OXIDES PRESENT
52043,180,11,1,FEW COPPER ALLOY PRESENT - 11uM PARTICLE DETECTED - FEW MOLY PRESENT
52043,180,12,0,
52043,180,13,0,
52043,180,14,0,
52043,180,15,0,
52043,180,16,1,FEW FIBERS PRESENT - WHITE AND RED COLORS
52051,180,1,0,
52051,180,2,0,
52051,180,3,0,
52051,180,4,0,
52051,180,5,0,
52051,180,6,0,
52051,180,7,0,
52051,180,8,0,
52051,180,9,0,
52051,180,10,1,VERY FEW RED OXIDES PRESENT
52051,180,11,1,FEW METALLICS MOSTLY WHITE METAL - ONE COPPER ALLOY PARTICLE DETECTED
52051,180,12,0,
52051,180,13,0,
52051,180,14,0,
52051,180,15,0,
